read_at,city,shop_id,name,day,hour,weekday,locker_type,free,min_qta,price_1h,status
2026-09-25 14:17,verona,14,Verona Arena,2026-09-25,15,weekday,Maxi,8,5,3.49,read
2026-09-25 14:17,turin,17,Turin Porta Nuova Train Station,2026-09-25,15,weekday,Small,8,5,3.49,read
2026-09-25 14:17,turin,17,Turin Porta Nuova Train Station,2026-09-25,15,weekday,Standard,1,1,2.49,read
2026-09-25 14:17,turin,17,Turin Porta Nuova Train Station,2026-09-25,15,weekday,Maxi,8,5,3.49,read
2026-09-25 14:17,bari,18,Bari Centrale Train Station,2026-09-25,15,weekday,Small,0,0,1.49,read
2026-09-25 14:17,bari,18,Bari Centrale Train Station,2026-09-25,15,weekday,Standard,0,0,2.49,read
2026-09-25 14:17,bari,18,Bari Centrale Train Station,2026-09-25,15,weekday,Maxi,15,5,3.49,read
2026-09-25 14:17,rome,21,Colosseum,2026-09-25,15,weekday,Small,12,5,3.49,read
2026-09-25 14:17,rome,21,Colosseum,2026-09-25,15,weekday,Standard,4,4,2.49,read
2026-09-25 14:17,rome,21,Colosseum,2026-09-25,15,weekday,Maxi,12,5,3.49,read
2026-09-25 14:17,rome,22,Trastevere,2026-09-25,15,weekday,Small,9,5,2.99,read
2026-09-25 14:17,rome,22,Trastevere,2026-09-25,15,weekday,Standard,3,2,2.49,read
2026-09-25 14:17,rome,22,Trastevere,2026-09-25,15,weekday,Maxi,9,5,2.99,read
2026-09-25 14:17,florence,24,Florence SMN Train Station,2026-09-25,15,weekday,Small,1,1,1.49,read
2026-09-25 14:17,florence,24,Florence SMN Train Station,2026-09-25,15,weekday,Standard,13,5,2.49,read
2026-09-25 14:17,florence,24,Florence SMN Train Station,2026-09-25,15,weekday,Maxi,2,2,3.49,read
2026-09-25 14:17,genoa,25,Genoa Piazza Principe Train Station,2026-09-25,15,weekday,Small,3,2,3.49,read
2026-09-25 14:17,genoa,25,Genoa Piazza Principe Train Station,2026-09-25,15,weekday,Standard,6,5,2.49,read
2026-09-25 14:17,genoa,25,Genoa Piazza Principe Train Station,2026-09-25,15,weekday,Maxi,3,2,3.49,read
