name,kind,lat,lng
Madonna di Campagna,suburb,45.100819,7.6684496
Borgo Vittoria,suburb,45.0973,7.6780633
Huckhaus,neighbourhood,46.7751112,7.6852114
Falchera,suburb,45.1283575,7.7093621
San Marone,suburb,43.3036129,13.7165126
Fontespina,suburb,43.3205695,13.7174547
Dorf,neighbourhood,46.8487674,12.7610385
Wolfbach,neighbourhood,46.7673082,7.6919746
Tre Torri,suburb,45.5173782,9.3255472
Lütschental,neighbourhood,46.7733045,7.6968402
Schwendi,neighbourhood,46.7765459,7.6937073
Borgo Croce,neighbourhood,41.7171909,14.59043
Carmine,neighbourhood,45.5990486,8.6508075
حي 50 مسكن,neighbourhood,35.3682992,8.241553
Barca,suburb,45.101778,7.7278795
Barriera di Milano,suburb,45.0923875,7.6953196
Rebaudengo,suburb,45.1042567,7.6993038
Regio Parco,suburb,45.0930538,7.7149486
Mirafiori Nord,suburb,45.0403513,7.628422
Santa Rita,suburb,45.0456578,7.6455291
Filadelfia,suburb,45.0370503,7.6570621
Lingotto,suburb,45.0261518,7.6498858
Nizza Millefonti,suburb,45.030171,7.6678494
Tannhalten,neighbourhood,46.7762042,7.6957552
حي الميزاب,neighbourhood,35.3867548,8.1044585
حي الجرف,neighbourhood,35.391245,8.1037126
Falchera Nuova,neighbourhood,45.1305682,7.710938
Falchera Vecchia,neighbourhood,45.1257843,7.7096719
Pietra Alta,neighbourhood,45.1157005,7.7051015
Spina 4,neighbourhood,45.0930471,7.6851941
Monte Bianco,neighbourhood,45.0917058,7.6876703
Borgata Frassati,neighbourhood,45.0955154,7.6324975
Villaggio Santa Caterina,neighbourhood,45.1019679,7.643913
Borgata Tesso,neighbourhood,45.0924631,7.6740396
Borgata Ceronda,neighbourhood,45.0912252,7.6562455
Martinetto,neighbourhood,45.0840575,7.6563205
Basso San Donato,neighbourhood,45.0845746,7.6648124
Parco Dora (Spina 3),neighbourhood,45.0893165,7.6707133
Alta Parella,neighbourhood,45.082105,7.6205881
Fuhren,neighbourhood,46.7820976,7.684793
Unter der Fluh,neighbourhood,46.7871097,7.6848574
Patschgsiedlung,neighbourhood,47.1058304,13.1325956
Weid,neighbourhood,46.7814299,7.6577309
Auf der Fluh,neighbourhood,46.7821619,7.6762408
Untermatt,neighbourhood,46.777164,7.67702
Piazzano di Atessa,quarter,42.1298624,14.415935
Piana La Fara,quarter,42.1218596,14.4021496
San Tommaso,neighbourhood,42.1159956,14.3910673
Saletti,neighbourhood,42.142087,14.4364177
Selva d'Altino,quarter,42.1151468,14.3592712
Continassa,neighbourhood,45.1106769,7.6360165
Aeronautica,neighbourhood,45.073064,7.6097516
Venchi Unica,neighbourhood,45.0729125,7.6168541
Borgata Lesna,neighbourhood,45.062501,7.6200512
Rione Lancia,neighbourhood,45.0603336,7.6402215
Polo Nord,neighbourhood,45.0555742,7.6493195
Gerbido,neighbourhood,45.0448146,7.6147076
Centro Europa,neighbourhood,45.0389167,7.6206943
Casermette,neighbourhood,45.0540014,7.6261445
Borgata Lesna (Grugliasco),neighbourhood,45.0555627,7.6209517
Borgo Nuovo,neighbourhood,45.0636036,7.6883449
San Secondo,neighbourhood,45.0592839,7.6728364
Porta Palazzo,neighbourhood,45.0771287,7.683356
Borgo Dora,neighbourhood,45.0812652,7.6834097
Valdocco,neighbourhood,45.082106,7.6758995
Rossini,neighbourhood,45.0770681,7.6958766
Molinette,neighbourhood,45.0411683,7.6728471
Italia '61,neighbourhood,45.0208931,7.6658734
Pilonetto,neighbourhood,45.0400993,7.6821222
Crimea,neighbourhood,45.0564305,7.6951631
Borgata Rosa,neighbourhood,45.0870186,7.7330252
Villaggio Dora,neighbourhood,45.0900797,7.5701713
Borgata Paradiso,suburb,45.074459,7.5980663
Regina Margherita,neighbourhood,45.0735043,7.579441
Terracorta,neighbourhood,45.0761864,7.5617814
Maiasco,neighbourhood,45.0738832,7.5524902
Borgo Uriola,neighbourhood,45.0635098,7.5189465
Borgo Nuovo,neighbourhood,45.0751257,7.5075364
Colle delle Api,quarter,41.5801644,14.6690875
Pesco Farese,quarter,41.5958273,14.6686484
Selvapiana,quarter,41.5687166,14.632144
حي الديوان الترقية والتسيير العقاري,neighbourhood,35.4020724,8.0913343
Piano dell'Ospedale,quarter,42.0543631,14.5773287
Peschiola,neighbourhood,42.0584304,14.5740898
Collepizzuto,neighbourhood,42.0088107,14.5525835
Novo naselje,neighbourhood,45.4771863,18.6484903
Centro storico,quarter,42.1126219,14.709726
Santa Lucia,neighbourhood,42.1195724,14.712777
Trave,neighbourhood,42.1118819,14.7166671
Castelletto,neighbourhood,45.8434751,9.065267
Bignanico,neighbourhood,45.8230773,9.0656262
Cardina,neighbourhood,45.8267856,9.059685
Difenza,neighbourhood,42.1386286,14.6621207
Fontefico,neighbourhood,42.1538698,14.6806816
Rigola,neighbourhood,45.1191125,7.6516434
Altessano,suburb,45.1278256,7.6403459
Fabbrichetta,neighbourhood,45.0679214,7.5615303
Santa Lucia,neighbourhood,42.0845646,14.6626704
Cianaluca,neighbourhood,41.9327775,15.0608298
Murata,neighbourhood,46.0804176,8.2667388
San Francesco,suburb,40.6103216,14.3523174
San Pietro Linari,neighbourhood,42.1374069,14.6724741
Kurierdorf,neighbourhood,46.9359019,13.1222061
Borgata Marina,quarter,42.2315912,14.5472775
Bertogno,neighbourhood,46.0756589,9.1545944
Contrada Montenegro,suburb,40.6353281,17.8804314
La Rosa,suburb,40.6060865,17.9519632
Santo Stefano,neighbourhood,42.198038,14.6022697
Vallone di Nanni,neighbourhood,42.1885794,14.5240577
Terra Murata,quarter,41.0621035,14.4548173
San Prospero Strinati,suburb,44.7183903,10.6361349
Sant'Angelo d'Altino,neighbourhood,42.1074537,14.3510932
Canneto,neighbourhood,41.8547168,14.6028803
Borgo Stazione,neighbourhood,43.4453741,13.0267381
Centro Grande,neighbourhood,41.981031,12.3939655
Borgata Quaglia,neighbourhood,45.0636052,7.6065351
Verniellis,neighbourhood,45.6664265,13.782817
Pubrida,neighbourhood,45.9405325,13.5742348
Hoffeld,neighbourhood,46.8253611,13.3462854
Kolonija,quarter,43.6725392,18.9699285
La Brada,neighbourhood,44.7691037,9.3782957
Vazzieri,quarter,41.5516111,14.6680569
Mira Garden lakópark,neighbourhood,47.2209504,16.6219807
Thal-Aue,neighbourhood,46.7831241,12.6617607
Cep,quarter,41.5673781,14.6735099
Taborni,neighbourhood,41.175018,14.636364
Pietremili,neighbourhood,41.1760175,14.6464552
Tammari,neighbourhood,41.1745079,14.6470045
Iadonisi,neighbourhood,41.1750654,14.6433818
San Pietro,neighbourhood,41.1720823,14.652079
Arco,neighbourhood,41.1769824,14.6458831
Calci,neighbourhood,41.1766695,14.6442309
Li Vincenzi,neighbourhood,41.1732522,14.6441046
San Giovanni,quarter,41.5558022,14.677863
Russi,neighbourhood,41.1560638,14.5331392
Barungi di Sopra,neighbourhood,41.1546158,14.5289308
Piconi,neighbourhood,41.1588355,14.5280658
Cantina Sociale,neighbourhood,37.0824893,14.2362415
Centro storico,quarter,41.5617721,14.6584112
Centro,suburb,40.6369401,17.944327
Perrino,suburb,40.631482,17.953409
Minnuta,suburb,40.6373556,17.9260638
Stifting,neighbourhood,47.0921068,15.4910045
Foro d'Ortona,quarter,42.3980356,14.3295162
Poggio del Torrino,neighbourhood,41.8130811,12.4481422
Les Chênes,quarter,44.5410009,6.3993967
Sankt Martin,neighbourhood,47.0359279,15.388145
Malta,neighbourhood,43.8222402,17.012412
Contrada Castello,neighbourhood,45.9169889,9.3306139
Riedli,neighbourhood,46.8787519,7.5058834
San Leonardo,quarter,41.803507,14.9190331
La Prada,quarter,44.05272,10.0510949
Punta Penna,quarter,42.1716847,14.7145437
Ovčara,quarter,45.5071556,18.5683099
Colli di San Pietro,suburb,40.6171927,14.4277448
San Luca Marcelluzzo,neighbourhood,38.0077907,15.7523395
Fossatello,neighbourhood,38.0080324,15.7590401
Villaggio dei Pescatori,neighbourhood,40.64399,17.9408584
Solaro,neighbourhood,45.6708487,8.9636713
Les Bègues,neighbourhood,46.1520088,6.3207409
Podgradina,neighbourhood,43.6710124,18.887605
Gradina,neighbourhood,43.6687837,18.8885962
Podobarak,quarter,43.6801341,18.9900487
Cupa,neighbourhood,43.323079,12.9574803
Castriche,neighbourhood,43.3284084,12.9566789
Castiglioni,neighbourhood,43.3050808,12.9226153
Cesi,neighbourhood,43.3071119,12.918244
San Donato,quarter,42.3291409,14.4147407
Villa San Leonardo,quarter,42.3110028,14.4015489
Santa Lucia,quarter,42.3332021,14.4053741
Villa Caldari,suburb,42.292771,14.3657059
Villa Rogatti,quarter,42.2917516,14.3870985
Villa Grande,suburb,42.3293085,14.3632755
Riccio,quarter,42.3719384,14.3654125
San Barbato,quarter,42.1246425,14.5641689
Lido di Tor Materno,neighbourhood,41.4804265,12.5990004
Borgo Sant'Elia,quarter,39.1905581,9.1407596
San Giacomo,quarter,42.1048485,14.5583762
Bardella,neighbourhood,42.0998275,14.6110106
Piano Valle,neighbourhood,42.1531448,14.6332974
Cimalcampo,neighbourhood,45.8908862,8.1558633
Centro,neighbourhood,45.8900638,8.1580911
Case Travaglino,neighbourhood,45.8886275,8.1602445
Baradello,neighbourhood,45.7090616,9.4935175
Vijenac Slavka Kolara,neighbourhood,45.5598726,18.7228092
Bodiccione,neighbourhood,41.9412494,8.7536091
Gradina,quarter,43.6697641,18.9733154
San Sebastiano,suburb,45.7116392,9.6380829
Collalto,neighbourhood,45.7484003,11.6167583
Pio X,neighbourhood,45.7088646,11.6430749
Montetto,neighbourhood,41.3960428,14.9749124
Pescannozzo,neighbourhood,41.3939799,14.9734303
Oliveto,neighbourhood,41.389791,14.9754328
Castello,neighbourhood,46.1211547,8.3308756
Selva,neighbourhood,42.1961035,14.4782504
San Giovanni in Venere,neighbourhood,42.2540617,14.497717
Padula,neighbourhood,42.0641003,14.773607
Petacciato Marina,quarter,42.0318187,14.8483884
Lungomare Nord di Termoli,neighbourhood,42.0157031,14.918834
Lončarica,neighbourhood,45.5374152,18.6838258
Bivio Pratole,neighbourhood,40.6229921,14.9293577
Corvinia,neighbourhood,40.6240182,14.9064088
Pontecagnano,suburb,40.6455395,14.8739034
San Paolo,quarter,42.1284998,14.7086774
Carnolès,suburb,43.7636116,7.4808244
Cap Martin,suburb,43.7558631,7.4777304
Garavan,suburb,43.7855622,7.5186281
Balcon,quarter,45.2998306,6.5795632
Grande Rue,quarter,45.298166,6.5790579
Soleil,quarter,45.2968562,6.5774864
Lombarde,quarter,45.2963475,6.5833111
Slalom,quarter,45.2954729,6.5858023
Plein Sud,quarter,45.298376,6.5853878
Brecciaio,quarter,42.1393549,14.3915369
Selva Piana,quarter,42.1235536,14.3004194
Pfrüendli,neighbourhood,46.3851922,7.2627702
Heiti,neighbourhood,46.3814768,7.2616571
Santa Chiara,suburb,40.6262937,17.9248172
Merosci,neighbourhood,42.1233362,14.3419866
Villaggio San Pietro,suburb,40.6268384,17.9557652
Villa Stanazzo,quarter,42.2268429,14.4139062
Villa Elce,neighbourhood,42.1875351,14.3951736
Fontanelle,neighbourhood,42.1727632,14.3922554
Cancelli,neighbourhood,42.5171114,13.933981
Plavignano,neighbourhood,42.5105192,13.9552081
Villa Follani,neighbourhood,42.1975495,14.3826585
Lancianovecchia,quarter,42.2330655,14.3920385
Civitanova-Sacca,quarter,42.2309116,14.3878408
Fontanelle,neighbourhood,42.1803868,14.388383
Sant'Onofrio,neighbourhood,42.1717351,14.4069138
Vètiche,neighbourhood,42.2491171,14.4751969
Foce,neighbourhood,42.2772248,14.4900671
Riva Grande,quarter,46.0106945,9.2828196
Cortesella,quarter,46.0115327,9.283289
Forrásmajor,neighbourhood,46.5824771,18.786774
Sygnus Kft.,neighbourhood,46.5823812,18.7954724
Raselli,neighbourhood,42.1897212,14.1946584
Sciorilli,neighbourhood,42.1937911,14.1979199
Villa Maiella,neighbourhood,42.1868514,14.2011708
Santa Lucia,neighbourhood,42.2123948,14.2077583
Capoposta,neighbourhood,42.1574279,14.2721098
La Roma,neighbourhood,42.134884,14.2660542
Piano Aventino,neighbourhood,42.1236352,14.2771711
وادي سهيل,neighbourhood,36.4453147,10.7244326
Ricorboli,neighbourhood,43.7620731,11.2740723
Cseresznyéspuszta,neighbourhood,46.6512405,18.7932837
Földespuszta,neighbourhood,46.6041672,18.7558937
Akalacspuszta,neighbourhood,46.6427963,18.7904459
Pili (primo),quarter,42.1103716,14.51047
Capragrassa (prima),quarter,42.0949128,14.4363551
Sant'Amico d'Archi (secondo),quarter,42.1075243,14.4323932
San Luca di Atessa,quarter,42.1132566,14.4322822
Cona di Atessa,quarter,42.085697,14.4422601
Madonna degli Angeli,neighbourhood,42.339374,14.3985645
Fonte Grande,quarter,42.3478277,14.3921314
Biserna,neighbourhood,43.6641219,18.978778
Luka,quarter,43.6662398,18.9820812
Hadžijska mahala,neighbourhood,43.665835,18.9783766
Caldari Stazione,quarter,42.3015577,14.3622824
Serroni,quarter,42.2589384,14.4075099
Santa Giusta,quarter,42.249192,14.3955607
Nives,neighbourhood,46.5564223,11.7567482
Col da Lech,neighbourhood,46.5573741,11.7544001
Ghetun,neighbourhood,46.5567449,11.7553806
Borgo Valle Vecchia,neighbourhood,41.9385344,14.3250328
Borgo Pietra Antica,neighbourhood,41.9377941,14.3231381
Verdugia,quarter,42.1640587,14.5985124
Gallico Marina,suburb,38.166502,15.6460698
Catona,suburb,38.1879539,15.6416525
Contrada Asola,neighbourhood,43.3320144,13.5688448
Ferrari,suburb,45.5945218,11.0019815
Contrada Canneggiano,neighbourhood,43.3307033,13.5397267
Commenda,suburb,40.6298427,17.933998
Sant'Angelo,suburb,40.6222989,17.9339073
Masserie La Corte,quarter,41.5514087,14.1159561
Taverna Ravindola,quarter,41.5201235,14.1259136
