day,city,area,points,capacity,peak,peak_pct,carry_in,bags_in,deposits
2026-09-23,milan,washington,1,35,2,5.7,2,0,1.0
2026-09-23,milan,zone-7-of-milan,3,60,0,0.0,0,0,0.0
2026-09-23,modena,central-station,5,125,4,3.2,4,0,2.0
2026-09-23,modena,city-centre,2,45,8,17.8,8,0,4.0
2026-09-23,monza,downtown,1,230,0,0.0,0,0,0.0
2026-09-23,monza,monza-train-station,4,175,0,0.0,0,0,0.0
2026-09-23,naples,bagnoli-agnano-terme,1,30,0,0.0,0,0,0.0
2026-09-23,naples,centro-storico,5,165,0,0.0,0,0,0.0
2026-09-23,naples,dante,6,245,1,0.4,1,0,0.5
2026-09-23,naples,fuorigrotta,1,20,0,0.0,0,0,0.0
2026-09-23,naples,mergellina-port,3,190,0,0.0,0,0,0.0
2026-09-23,naples,miano,1,100,0,0.0,0,0,0.0
2026-09-23,naples,monument-of-giuseppe-garibaldi,1,30,5,16.7,5,0,2.5
2026-09-23,naples,municipio,7,290,10,3.4,10,0,5.0
2026-09-23,naples,naples-airport,1,200,2,1.0,2,0,1.0
2026-09-23,naples,naples-cathedral,2,65,0,0.0,0,0,0.0
2026-09-23,naples,naples-centrale-train-station,18,1335,8,0.6,8,0,4.0
2026-09-23,naples,naples-city-center,5,205,1,0.5,1,0,0.5
2026-09-23,naples,napoli-port,1,10,0,0.0,0,0,0.0
2026-09-23,naples,napoli-porta-nolana,10,408,2,0.5,2,0,1.0
2026-09-23,naples,piazza-cavour,1,50,0,0.0,0,0,0.0
2026-09-23,naples,pomigliano-darco,1,40,0,0.0,0,0,0.0
2026-09-23,naples,porta-capuana,3,190,3,1.6,3,0,1.5
2026-09-23,naples,posillipo,1,50,0,0.0,0,0,0.0
2026-09-23,naples,quartieri-spagnoli,2,95,0,0.0,0,0,0.0
2026-09-23,naples,quattro-giornate-station,1,50,0,0.0,0,0,0.0
2026-09-23,naples,rione-sanita,3,80,0,0.0,0,0,0.0
2026-09-23,naples,san-lorenzo,1,20,0,0.0,0,0,0.0
2026-09-23,naples,santa-lucia,2,120,0,0.0,0,0,0.0
2026-09-23,naples,universita,5,215,1,0.5,1,0,0.5
