seen_on,city,area,storage_id,name,lat,lng,capacity,is_locker,open_24_7,reviews,rating,price_eur
2026-09-23,rome,ostia-1,6468366,Luggage Storage Corso Duca di Genova,41.7323864,12.2767167,40,False,False,5,4.67,5.0
2026-09-23,rome,prati,6468191,Luggage Storage Via degli Scipioni,41.90849679999999,12.4583092,30,False,False,37,4.57,5.0
2026-09-23,rome,pantheon,6468018,Luggage Storage near Piazza del Gesù,41.8957711,12.4785233,50,False,False,14,4.71,5.0
2026-09-23,rome,esquilino,6463301,Luggage Storage Vittorio Emanuele Metro Station,41.8947107,12.5068405,20,False,False,4,4.5,5.0
2026-09-23,rome,esquilino,6463300,Luggage Storage Porta Maggiore,41.89176,12.51377,30,False,False,6,4.43,5.0
2026-09-23,rome,trastevere,6463283,Luggage Storage Roma Trastevere,41.8859931,12.4712682,20,False,False,19,4.84,5.0
2026-09-23,rome,termini,6463200,Luggage Storage Via Milazzo / Termini,41.9021643,12.5047868,20,False,False,4,4.5,5.0
2026-09-23,rome,san-lorenzo,6463191,Luggage Storage Piazza Dei Sanniti,41.8989189,12.5150785,10,False,False,1,5,5.0
2026-09-23,rome,s-pietro,6463140,Luggage Storage near Paul VI Hall,41.9001013,12.4553668,20,False,False,6,4.86,5.0
2026-09-23,rome,roman-forum,6463113,Luggage Storage Ponte Cavour,41.9058398,12.4734469,20,False,False,1,4,5.0
2026-09-23,rome,pantheon,6462317,Luggage Storage near Galleria Doria Pamphilj,41.8973641,12.4820041,20,False,False,34,4.71,5.0
2026-09-23,rome,lepanto,6462316,Luggage Storage Roma Ottaviano,41.9090028,12.4574604,35,False,False,81,4.63,5.0
2026-09-23,rome,flaminio,6462296,Luggage Storage Piazzale Flaminio,41.91236370000001,12.4762863,20,False,False,4,5,5.0
2026-09-23,rome,repubblica,6462240,Luggage Storage Tritone/ Barberini,41.9031756,12.4862491,40,False,False,37,4.64,5.0
2026-09-23,rome,colosseum,6462225,Luggage Storage Colosseo Transit Stop,41.8892567,12.4958351,20,False,False,6,4.5,5.0
2026-09-23,rome,san-giovanni,6462224,Luggage Storage Porta S. Giovanni,41.8868953,12.5087003,20,False,False,13,5,5.0
2026-09-23,rome,manzoni,6462223,Luggage Storage Via Emanuele Filiberto,41.8891844,12.5071327,20,False,False,1,4,5.0
