read_at,city,area,storage_id,name,day,hour,weekday,capacity,booked,free,status
2026-09-23 17:18,rome,tiburtina,6452073,Luggage Storage Via Lorenzo Il Magnifico / Tiburtina,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,brancaccio,6452072,Luggage Storage Largo Brancaccio,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,pantheon,6451949,Luggage Storage Jewish Ghetto,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,manzoni,6451861,Luggage Storage near Manzoni Metro Station,2026-09-23,18,weekday,25,0,25,read
2026-09-23 17:18,rome,la-rustica,6451745,Luggage Storage La Rustica,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,monti,6451743,Luggage Storage Via Filippo Turati / Termini,2026-09-23,18,weekday,100,7,93,read
2026-09-23 17:18,rome,nomentana,6451721,Luggage Storage Prati Fiscali,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,vatican,6451676,Luggage Storage near Teatro Ghione,2026-09-23,18,weekday,100,0,100,read
2026-09-23 17:18,rome,monti,6451669,Luggage Storage near Via Cavour,2026-09-23,18,weekday,40,0,40,read
2026-09-23 17:18,rome,casal-monastero,6451633,Luggage Storage Casal Monastero,2026-09-23,18,weekday,100,0,100,read
2026-09-23 17:18,rome,vatican,6451625,Luggage Storage Borgo Pio,2026-09-23,18,weekday,100,0,100,read
2026-09-23 17:18,rome,vatican,6451603,Luggage Storage Circonvallazione Trionfale,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,vatican,6451598,Luggage Storage Via Aurelia,2026-09-23,18,weekday,70,0,70,read
2026-09-23 17:18,rome,piazza-campo-de-fiori,6451596,Luggage Storage Roma Campo De' Fiori,2026-09-23,18,weekday,100,0,100,read
2026-09-23 17:18,rome,tiburtina,6451593,Luggage Storage Via Lorenzo Il Magnifico,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,torre-maura,6451521,Luggage Storage Viale Antonio Ciamarra,2026-09-23,18,weekday,100,0,100,read
2026-09-23 17:18,rome,roman-forum,6451503,Luggage Storage Basilica Papale Di Santa Maria Maggiore,2026-09-23,18,weekday,80,0,80,read
2026-09-23 17:18,rome,portuense,6450996,Luggage Storage Piazza Enrico Fermi,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,pantheon,6450927,Luggage Storage Chiesa Di San Francesco A Ripa,2026-09-23,18,weekday,45,3,42,read
2026-09-23 17:18,rome,tiburtina,6235,Luggage Storage Via Della Lega Lombarda,2026-09-23,18,weekday,40,2,38,read
2026-09-23 17:18,rome,termini,5475,Luggage Storage National Museum Of Rome,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,tiburtina,5339,Luggage Storage Roma Tiburtina,2026-09-23,18,weekday,15,0,15,read
2026-09-23 17:18,rome,trastevere,5086,Luggage Storage Piazza Scotti,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,navona,4879,Luggage Storage Navona Square,2026-09-23,18,weekday,25,0,25,read
2026-09-23 17:18,rome,furio-camillo,4878,Luggage Storage Roma Tuscolana Station,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,roma-stadio-olimpico,4875,Luggage Storage Maxxi Museum,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,termini,4762,Luggage Storage Termini Metro Station,2026-09-23,18,weekday,300,0,300,read
2026-09-23 17:18,rome,esquilino,4733,Luggage Storage Esquilino,2026-09-23,18,weekday,200,0,200,read
2026-09-23 17:18,rome,trastevere,4643,Luggage Storage Via Angelo Tittoni,2026-09-23,18,weekday,25,0,25,read
2026-09-23 17:18,rome,trastevere,4606,Luggage Storage Piazza San Cosimato,2026-09-23,18,weekday,30,0,30,read
