key,area,city_osm,source
"40.9229,14.3030",,,unknown
"40.9230,14.1771",,,unknown
"40.9230,14.2985",,,unknown
"40.9230,14.3093",,,unknown
"40.9233,14.1863",,,unknown
"40.9234,14.2208",,,unknown
"40.9241,14.5842",,,unknown
"40.9243,14.1786",,,unknown
"40.9249,14.1649",,,unknown
"40.9250,14.2275",,,unknown
"40.9254,14.2260",,,unknown
"40.9255,14.3025",,,unknown
"40.9255,14.5288",,,unknown
"40.9269,14.2993",,,unknown
"40.9275,14.1920",,,unknown
"40.9276,14.3062",,,unknown
"40.9281,14.2105",,,unknown
"40.9281,14.5248",,,unknown
"40.9283,14.5256",,,unknown
"40.9287,14.2208",,,unknown
"40.9311,14.1361",,,unknown
"40.9315,14.2010",,,unknown
"40.9316,14.1912",,,unknown
"40.9344,14.2350",,,unknown
"40.9366,14.2356",,,unknown
"40.9374,14.2373",,,unknown
"40.9375,14.2084",,,unknown
"40.9385,14.2522",,,unknown
"40.9396,14.2340",,,unknown
"40.9398,14.5292",,,unknown
"40.9420,14.2309",,,unknown
"40.9520,14.2340",,,unknown
"40.9580,14.5994",,,unknown
"40.9966,13.9717",,,unknown
"41.0351,13.9434",,,unknown
"41.4487,12.6301",,,unknown
"41.4583,12.6783",,,unknown
"41.4606,12.6435",,,unknown
"41.4615,12.6632",,,unknown
"41.4623,12.6267",,,unknown
"41.4665,12.6854",,,unknown
"41.4719,12.7011",,,unknown
